Experiment ID,Strategy,Asset,Opening Range,Direction,Entry Rule,Exit Rule,Stop Rule,Profit Target,CAGR,Sharpe,Sortino,Max Drawdown,Net Profit,Win Rate,Average Win,Average Loss,Profit-Loss Ratio,Total Orders,Fees,Turnover,Notes
EXP-001_QQQ_ORB_15M_BASELINE,Opening Range Breakout,QQQ,15 minutes,Long-only,Break above opening range high,End of day,None,None,4.880%,0.069,0.062,20.100%,34.924%,56%,0.66%,-0.77%,0.86,2398,$3567.14,104.03%,Positive but weak baseline; low Sharpe and high order count
EXP-002_QQQ_ORB_5M,Opening Range Breakout,QQQ,5 minutes,Long-only,Break above opening range high,End of day,None,None,7.342%,0.203,0.204,16.100%,56.116%,55%,0.72%,-0.80%,0.91,2628,$4381.39,114.03%,Shorter opening range improved return Sharpe Sortino and drawdown versus 15-minute baseline but increased orders and fees
EXP-003_QQQ_ORB_30M,Opening Range Breakout,QQQ,30 minutes,Long-only,Break above opening range high,End of day,None,None,4.584%,0.045,0.037,18.400%,32.548%,57%,0.60%,-0.72%,0.84,2180,$3146.66,94.58%,Wider opening range reduced orders and fees but weakened return and risk-adjusted performance
EXP-004_QQQ_ORB_60M,Opening Range Breakout,QQQ,60 minutes,Long-only,Break above opening range high,End of day,None,None,4.889%,0.057,0.044,16.700%,34.993%,57%,0.53%,-0.62%,0.86,1908,$2964.39,82.78%,Longest opening range reduced orders fees and turnover; performance slightly improved versus 30-minute but remained weak overall
EXP-005_QQQ_BUY_AND_HOLD,Buy and Hold Benchmark,QQQ,N/A,Long-only,Buy once,Hold through period,None,None,18.987%,0.577,0.632,36.600%,198.293%,N/A,N/A,N/A,N/A,1,$2.42,0.04%,Benchmark crushed ORB on raw return and Sharpe but had much higher drawdown
EXP-006_SPY_ORB_5M,Opening Range Breakout,SPY,5 minutes,Long-only,Break above opening range high,End of day,None,None,4.892%,0.063,0.061,13.200%,35.024%,54%,0.55%,-0.60%,0.92,2685,$3503.19,116.42%,SPY 5-minute ORB had similar net profit to QQQ 15-minute/60-minute but much weaker than QQQ 5-minute; lower drawdown but low Sharpe
EXP-007_SPY_BUY_AND_HOLD,Buy and Hold Benchmark,SPY,N/A,Long-only,Buy once,Hold through period,None,None,14.290%,0.471,0.483,33.600%,131.565%,N/A,N/A,N/A,N/A,1,$1.69,0.04%,SPY benchmark beat SPY ORB on raw return and Sharpe but had much higher drawdown
EXP-008_QQQ_ORB_5M_OR_LOW_STOP,Opening Range Breakout,QQQ,5 minutes,Long-only,Break above opening range high,End of day,Opening range low,None,6.206%,0.152,0.368,10.800%,46.016%,36%,0.82%,-0.42%,1.97,2630,$4371.99,114.12%,Opening-range-low stop reduced average loss and drawdown but lowered CAGR and net profit versus no-stop 5-minute ORB
EXP-009_QQQ_ORB_5M_OR_LOW_STOP_2R_TARGET,Opening Range Breakout,QQQ,5 minutes,Long-only,Break above opening range high,Stop target or end of day,Opening range low,2R target,0.628%,-0.338,-0.635,12.300%,4.012%,40%,0.64%,-0.42%,1.53,2632,$3740.43,114.18%,2R target severely weakened performance; likely capped winners too early while still taking many stopped-out trades
EXP-010_QQQ_ORB_5M_NOON_EXIT,Opening Range Breakout,QQQ,5 minutes,Long-only,Break above opening range high,Noon exit,None,None,4.873%,0.057,0.055,13.300%,34.865%,54%,0.53%,-0.57%,0.93,2502,$3801.84,108.56%,Noon exit reduced drawdown but materially weakened return and Sharpe versus end-of-day exit
EXP-011_QQQ_ORB_5M_VWAP_CONFIRM,Opening Range Breakout,QQQ,5 minutes,Long-only,Break above opening range high and close above VWAP,End of day,None,None,7.342%,0.203,0.204,16.100%,56.116%,55%,0.72%,-0.80%,0.91,2628,$4381.39,114.03%,VWAP confirmation produced identical results to the no-filter 5-minute ORB; likely redundant because opening-range breakouts were already above VWAP
EXP-012_QQQ_ORB_5M_200DMA_FILTER,Opening Range Breakout,QQQ,5 minutes,Long-only,Break above opening range high and price above 200-day moving average,End of day,None,None,1.306%,-0.206,-0.172,11.800%,8.497%,55%,0.59%,-0.69%,0.85,2122,$3079.10,92.06%,200-day trend filter reduced trades and drawdown but severely weakened return and risk-adjusted performance
EXP-013_QQQ_ORB_5M_GAP_UP_FILTER,Opening Range Breakout,QQQ,5 minutes,Long-only,Break above opening range high only on gap-up days,End of day,None,None,5.593%,0.110,0.072,13.300%,40.794%,56%,0.71%,-0.78%,0.91,1450,$2697.07,62.92%,Gap-up filter reduced trades fees turnover and drawdown but weakened return and Sharpe versus no-filter 5-minute ORB
EXP-014_QQQ_ORB_5M_GAP_DOWN_FILTER,Opening Range Breakout,QQQ,5 minutes,Long-only,Break above opening range high only on gap-down days,End of day,None,None,1.099%,-0.230,-0.182,27.800%,7.116%,53%,0.74%,-0.82%,0.91,1174,$1536.81,50.92%,Gap-down filter performed poorly; much weaker return Sharpe and drawdown than gap-up and no-filter versions
EXP-015_QQQ_ORB_5M_SHORT_ONLY,Opening Range Breakout,QQQ,5 minutes,Short-only,Break below opening range low,End of day,None,None,-5.521%,-0.481,-0.563,39.100%,-30.025%,47%,0.85%,-0.78%,1.08,2558,$3003.40,110.93%,Short-only ORB performed poorly; negative return negative Sharpe and large drawdown, likely hurt by QQQ upward drift
EXP-016_QQQ_ORB_5M_LONG_SHORT,Opening Range Breakout,QQQ,5 minutes,Long/short,Break above opening range high or below opening range low,End of day,None,None,0.656%,-0.108,-0.134,47.700%,4.196%,51%,0.83%,-0.85%,0.98,3152,$3696.84,136.68%,Long-short ORB performed much worse than long-only; short side added drawdown and weakened risk-adjusted performance
